ACCURL,ACCTEXT,ACCTEXTW,ACCTYPE
https://www.bcs.org/deliver-and-teach-qualifications/university-accreditation/,"Accredited by BCS, the Chartered Institute for IT for the purposes of fully meeting the requirement for Registered IT Technician. As well as ensuring that course content provides a foundation to underpin a future career in IT, accreditation also means that a graduate meets some or all of the educational requirements for registration with BCS as a Registered IT Technician.","Achredwyd gan BCS, y Sefydliad Siartredig ar gyfer TG i ddibenion bodloni'r gofynion llawn ar gyfer Technegydd TG Cofrestredig. Yn ogystal â sicrhau bod cynnwys y cwrs yn cynnig sylfaen ar gyfer gyrfa ym maes TG yn y dyfodol, mae achrediad hefyd yn golygu y bydd graddedig yn bodloni'r holl ofynion addysgol, neu gyfran ohonynt, er mwyn cofrestru gyda BCS fel Technegydd TG Cofrestredig.",01113
https://www.bqsm.gov.my/reference-documents/category/65-recognised-qualifications.html,Accredited by the Board of Quantity Surveyors Malaysia (BQSM) for the purpose of eligibility for registration with that body.,Achrededig gan Fwrdd Syrfewyr Meintiau Malaysia (BQSM) at bwrpas cymhwysedd ar gyfer cofrestru gyda'r corff hwnnw.,01201
http://baab.co.uk/accredited-courses.html,Accredited by the British Acupuncture Accreditation Board (BAAB) for the purpose of British Acupuncture Council (BAcC) membership.,Achrededig gan Fwrdd Prydeinig Achredu Aciwbigo (BAAB) at bwrpas aelodaeth o Fwrdd Aciwbigo Prydain (BacC).,01301
http://www.bacp.co.uk/accreditation/,Accredited by the British Association for Counselling and Psychotherapy (BACP).,Achrededig gan Gymdeithas Cynghori a Seicotherapi Prydain (BACP),01401
https://www.rcot.co.uk/,Accredited by the Royal College of Occupational Therapists (RCOT) for the purpose of ensuring graduates are fit for the profession.,Achrededig gan Goleg Therapyddion Galwedigaethol (RCOT)at bwrpas sicrhau bod graddedigion yn addas i'r proffesiwn.,01701
https://www.bases.org.uk/sspage-professional_development-accreditation_and_endorsement-bases_accreditation.html,Recognised by the British Association of Sport and Exercise Sciences (BASES) for the purposes of endorsement by the BASES Undergraduate Endorsement Scheme (BUES).,Cydnabuwyd gan Gymdeithas Gwyddorau Chwaraeon ac Ymarfer Corff Prydain (BASES) at bwrpas arnodiad gan Gynllun Arnodi Israddedig BASES (BUES).,01801
http://www.bdadyslexia.org.uk/quality-mark-and-accreditation.html,Accredited by the British Dyslexia Association (BDA).,Achrededig gan Gymdeithas Dyslecsia Prydain (BDA),01901
https://www.bps.org.uk/accreditation,Accredited against the requirements for the Graduate Basis for Chartered Membership (GBC) of the British Psychological Society (BPS).,Hachredu yn erbyn y gofynion ar gyfer y Sylfaen Raddedig ar gyfer Aelodaeth Siartredig (GBC) Cymdeithas Seicolegol Prydain (BPS).,02001
https://www.bps.org.uk/psychological-wellbeing-practitioner-pwp,Accredited by the British Psychological Society (BPS) against the requirements for qualification as a Psychological Wellbeing Practitioner.,Achrededig gan y Gymdeithas Seicolegol Prydain ( BPS ) yn erbyn y gofynion ar gyfer cymhwyster fel Ymarferydd Lles Seicolegol .,02002
www.bjtc.org.uk/,Accredited by the Broadcasting Journalism Training Council (BJTC).,Achrededig gan Gyngor Hyfforddi Newyddiaduriaeth Ddarlledu (BJTC),02101
https://socialcare.wales/learning-and-development/social-work-qualifications,Approved by Social Care Wales for the purpose of qualifying as a social worker.,Cymeradwywyd gan Gyngor Gofal Cymru at bwrpas cymhwyso fel gweithiwr cymdeithasol. ,02201
https://www.charteredaccountants.ie/Prospective-Students/Apply-and-Join/check-your-exemptions,Accredited by Chartered Accountants Ireland for the purpose of exemption from some professional exams.,Achrededig gan Gyfrifwyr Siartredig Iwerddon at bwrpas eithrio rhag rhai arholiadau proffesiynol.,02301
https://www.cfainstitute.org/en/advocacy/benchmarking,Recognised by the Chartered Financial Analyst Institute (CFA).,Achrededig gan Sefydliad Dadansoddwyr Ariannol Siartredig (CFA),02401
https://www.cisi.org/cisiweb2/cisi-website/schools-colleges-universities/universities,Accredited by the Chartered Institute for Securities and Investment for the purpose of sitting a professional qualification due to the high percentage overlap between CISI and the University's syllabus.,Hachredu gan y Sefydliad Siartredig ar gyfer Gwarantau a Buddsoddi (CISI) at ddibenion bod yn gymwys i wneud cais am aelodaeth gyswllt gyda'r corff hwnnw.,02501
http://www.ciarb.org/education-and-training/008-exemptions/,Recognised by the Chartered Institute of Arbitrators (CIArb) for the purpose of exemption from some professional exams.,Cydnabuwyd gan Sefydliad Siartredig Cyflafareddwyr (CIArb) at bwrpas eithrio rhag rhai arholiadau proffesiynol.,02601
https://ciat.org.uk/ ,"Accredited by the Chartered Institute of Architectural Technologists (CIAT), and demonstrates that the programme has been assessed in terms of content, structure and resources and has met the required educational standards. Graduates from an Accredited programme will receive full academic exemptions from the professional qualification when progressing to Chartered Architectural Technologist status.",Achrededig gan Sefydliad Siartredig Technolegwyr PensaernÃ¯ol (CIAT) at bwrpas eithrio rhag rhannau o'r cymhwyster proffesiynol wrth symud i statws Siartredig.,02701
http://www.ciob.org/accredited-courses,"Accredited by the Chartered Institute of Building (CIOB), having been judged to meet the CIOB Education Framework. Prospective members holding these qualifications have full academic exemption and may enter CIOB membership without the requirement for an Individual Assessment.","Hachredu gan y Sefydliad Siartredig Adeiladu (CIOB), ar ôl cael ei farnu i gwrdd â'r Fframwaith Addysg CIOB. Darpar aelodau sy'n dal cymwysterau hyn yn cael eithriad academaidd lawn ac fe allent fynd aelodaeth CIOB heb yr angen am Asesiad Unigol.",02801
https://www.cieh.org/what-is-environmental-health/how-do-i-become-an-ehp/,Accredited by the Chartered Institute of Environmental Health (CIEH) for the purpose of partially meeting the requirements for registration as an Environmental Health Practitioner with the Environmental Health Registration Board (EHRB).,Achrededig gan Sefydliad Siartredig Iechyd yr Amgylchedd (CIEH) at bwrpas cwrdd yn rhannol â'r gofynion ar gyfer cofrestru fel Ymarferydd Iechyd yr Amgylchedd gyda Bwrdd Cofrestru Iechyd yr Amgylchedd.,02901
https://www.cieh.org/what-is-environmental-health/how-do-i-become-an-ehp/,Accredited by the Chartered Institute of Environmental Health (CIEH) for the purpose of completing the academic component of the requirement for registration as a Food Inspector with the Environmental Health Registration Board (EHRB).,Achrededig gan y Sefydliad Siartredig Iechyd yr Amgylchedd (CIEH) at y diben o gwblhau'r gydran academaidd y gofyniad i gofrestru fel Arolygydd Bwyd gyda'r Bwrdd Cofrestru Iechyd yr Amgylchedd (EHRB).,02902
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institution of Highways and Transportation (CIHT) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Siartredig Priffyrdd a Chludiant (CIHT) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,03001
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institution of Highways and Transportation (CIHT) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer and partially meeting the academic requirement for registration as a Chartered Engineer.,Achrededig gan Sefydliad Siartredig Priffyrdd a Thrafnidiaeth (CIHT) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig a chwrdd yn rhannol â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,03002
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institution of Highways and Transportation (CIHT) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.,Achrededig gan Sefydliad Siartredig Priffyrdd a Thrafnidiaeth (CIHT) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,03003
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institution of Highways and Transportation (CIHT) on behalf of the Engineering Council for the purposes of partially meeting the academic requirement for registration as an Incorporated Engineer.,Hachredu gan y Sefydliad Siartredig Priffyrdd a Chludiant (CIHT) ar ran y Cyngor Peirianneg at ddibenion rhannol gwrdd â'r gofynion academaidd ar gyfer cofrestru fel Corfforedig Peiriannydd. ,03004
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institution of Highways and Transportation (CIHT) on behalf of the Engineering Council for the purposes of partially meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Siartredig Priffyrdd a Chludiant (CIHT) ar ran y Cyngor Peirianneg at ddibenion rhannol gwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,03005
http://www.cih.org/Qualifications,Accredited by the Chartered Institute of Housing (CIH) for the purpose of eligibility to apply for Chartered Membership with that body.,Achrededig gan Sefydliad Siartredig Tai (CIH) at bwrpas cymhwysedd i wneud cais am Aelodaeth Siartredig gyda'r corff hwnnw.,03101
http://www.cilip.org.uk/cilip/jobs-careers/starting-library-and-information-career/how-become-librarian-or-information,Accredited by the Chartered Institute of Library and Information Professionals (CILIP) to assure students that programmes provide an excellent preparation for professional practice.,Achrededig gan Sefydliad Siartredig Gweithwyr Proffesiynol Llyfrgell a Gwybodaeth (CILIP) i sicrhau myfyrwyr bod rhaglenni'n darparu paratoad rhagorol ar gyfer ymarfer proffesiynol.,03201
https://www.ciltuk.org.uk/TrainingCPD/UniversityAccreditedDegrees.aspx,CILT accreditation offers the students an introduction to a professional body. Students studying on an accredited course will receive an exemption from the academic requirements for membership at either Chartered Member or membership level of the CILT. It may also reduce the length of experience that they would also require.,Achrediad CILT yn cynnig cyflwyniad i gorff proffesiynol y myfyrwyr. Bydd myfyrwyr sy'n astudio ar gwrs achrededig yn derbyn ei eithrio rhag y gofynion academaidd ar gyfer aelodaeth ar naill ai Aelod Siartredig neu lefel aelodaeth o'r CILT. Gall hefyd leihau hyd y profiad y byddai hefyd yn gofyn iddynt.,03301
https://www.aicpa-cima.com/resources/landing/cgma-exemptions,Accredited by the Chartered Institute of Management Accountants (CIMA) for the purpose of exemption from some professional examinations through the Accredited degree accelerated route.,Achrededig gan Sefydliad Siartredig Cyfrifwyr Rheolaeth (CIMA) at bwrpas eithrio rhag rhai arholiadau proffesiynol drwy lwybr carlam gradd Achrededig.,03401
https://www.aicpa-cima.com/resources/landing/cgma-exemptions,Accredited by the Chartered Institute of Management Accountants (CIMA) for the purpose of exemption from all professional examinations through the Accredited degree accelerated route.,Achrededig gan Sefydliad Siartredig Cyfrifwyr Rheolaeth (CIMA) at bwrpas eithrio rhag pob arholiad proffesiynol drwy lwybr carlam gradd achrededig.,03402
https://www.cim.co.uk/learn-develop/qualifications/cim-accredited-degree/,Accredited by the Chartered Institute of Marketing (CIM) for the purpose of gaining CIM qualifications through the Graduate Gateway.,Wedi'i achredu gan Sefydliad Siartredig Marchnata (CIM) at y diben o ennill cymwysterau CIM drwy Borth i Raddedigion.,03501
https://www.cipd.org/en/learning/qualifications/cipd-accredited-university-programmes/,Accredited by the Chartered Institute of Personnel and Development (CIPD).,Hachredu gan y Sefydliad Siartredig Personél a Datblygu (CIPD).,03601
https://www.cipfa.org/qualifications/exemptions,Accredited by the Chartered Institute of Public Finance and Accountancy (CIPFA) for the purpose of exemption from some professional examinations.,Achrededig gan Sefydliad Siartredig Cyllid Cyhoeddus a Chyfrifyddiaeth (CIPFA) at bwrpas eithrio rhag rhai arholiadau proffesiynol. ,03701
https://cipr.co.uk/CIPR/Learn_Develop/Qualifications/Recognised_university_courses.aspx,Recognised by the Chartered Institute of Public Relations (CIPR).,Achrededig gan Sefydliad Siartredig Cysylltiadau Cyhoeddus (CIPR),03801
https://www.cips.org/en/qualifications/about-cips-qualifications/accredited-degrees/,Accredited by the Chartered Institute of Procurement and Supply (CIPS) for the purpose of exemptions from some professional examinations.,Achrededig gan Sefydliad Siartredig Prynu a Chyflenwi (CIPS) at bwrpas eithrio rhag rhai arholiadau proffesiynol.,03901
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institute of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,04001
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institute of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer and partially meeting the academic requirement for registration as a Chartered Engineer.,Achrededig gan Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE)ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig a chwrdd yn rhannol â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,04002
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institute of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.,Achrededig gan Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,04003
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institution of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of partially meeting the academic requirement for registration as an Incorporated Engineer.,Achredir gan y Sefydliad Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE) ar ran y Cyngor Peirianneg at ddibenion rhannol gwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,04004
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Chartered Institution of Building Services Engineers (CIBSE) on behalf of the Engineering Council for the purposes of partially meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Siartredig Peirianwyr Gwasanaethau Adeiladu (CIBSE) ar ran y Cyngor Peirianneg at ddibenion rhannol gwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,04005
http://www.ciwem.org/membership/apply-for-membership/associate-aciwem.aspx,Accredited by the Chartered Institution of Water and Environmental Management (CIWEM) for the purpose of eligibility to apply for Associate level membership.,Hachredu gan y Sefydliad Siartredig Rheoli Dwr a'r Amgylchedd (CIWEM) at ddibenion bod yn gymwys i wneud cais am aelodaeth lefel Cyswllt.,04201
http://www.cii.co.uk/about/accreditation-services/accreditation-schemes-for-individuals/recognition-of-prior-learning/,Accredited by the Chartered Insurance Institute (CII) for the purpose of some exemptions from professional examinations.,Wedi'i achredu gan y Sefydliad Yswiriant Siartredig (CII) at ddibenion rhai eithriadau rhag arholiadau proffesiynol.,04301
http://www.managers.org.uk/education-providers/higher-education-partners,Accredited by the Chartered Management Institute (CMI).,Achrededig gan Sefydliad Rheoli Siartredig (CMI),04401
https://www.csd.org.uk/education/course-endorsement-programme/accreditation/,Accredited by the Chartered Society of Designers (CSD) the professional body for design with free student membership and leading to Associate Membership (Assoc. CSD).,Achrededig gan Gymdeithas Siartredig Dylunio (CSD) y corff proffesiynol ar gyfer dylunio gydag aelodaeth myfyriwr am ddim ac yn arwain at Aelodaeth Gyswllt (Assoc. CSD).,04501
https://www.csd.org.uk/education/course-endorsement-programme/accreditation/,Recognised by the Chartered Society of Designers (CSD) the professional body for design with free student membership.,Cydnabuwyd gan Gymdeithas Siartredig Dylunio (CSD) y corff proffesiynol ar gyfer dylunio gydag aelodaeth myfyrwyr am ddim.,04502
https://www.csp.org.uk/careers-jobs/career-physiotherapy/physiotherapy-degrees,Accredited by the Chartered Society of Physiotherapy (CSP).,Cefnogwyd gan Gymdeithas Siartredig Ffisiotherapi (CSP).,04601
http://www.codp.org.uk/signup.php,Accredited by the College of Operating Department Practitioners (CODP).,Achrededig gan Goleg Ymarferwyr Adran Lawfeddygol (CODP).,04701
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg at ddibenion llawn cwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,05101
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer and partially meeting the academic requirement for registration as a Chartered Engineer.,Achrededig gan Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig a chwrdd yn rhannol â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,05102
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council for the purposes of fully meeting the academic requirement for registration as an Incorporated Engineer.,Achrededig gan Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg at bwrpasau cwrdd yn llawn â'r gofyniad academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,05103
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council as partially meeting the academic requirement for registration as an Incorporated Engineer.,Hachredu gan y Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg fel yn rhannol gwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Corfforedig.,05104
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council as meeting the academic requirement for registration as a Chartered Engineer when combined with accredited further learning.,Hachredu gan y Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg fel rhai sy'n bodloni'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig wrth eu cyfuno ag dysgu pellach achrededig.,05106
http://www.engc.org.uk/informationfor/students-apprentices-and-graduates/,Accredited by the Energy Institute (EI) on behalf of the Engineering Council for the purposes of partially meeting the academic requirement for registration as a Chartered Engineer.,Hachredu gan y Sefydliad Ynni (EI) ar ran y Cyngor Peirianneg ar gyfer y ddibenion rhannol gwrdd â'r gofynion academaidd ar gyfer cofrestru fel Peiriannydd Siartredig.,05108
http://www.estyn.gov.uk/,Accredited by Estyn.,Achrededig gan Estyn,05301
https://www.eaeve.org/esevt/establishments-status,Accredited by the European Association of Establishments for Veterinary Education (EAEVE).,Achrededig gan Gymdeithas Ewropeaidd y Sefydliadau ar gyfer Addysg Filfeddygol (EAEVE).,05401
https://www.efmdglobal.org/accreditations/business-schools/equis/,Accredited by the EFMD Quality Improvement System.,Wedi'i achredu gan System Gwella Ansawdd Sefydliad Ewropeaidd er Datblygu Rheolaeth (EFMD).,05501
https://www.csofs.org/quality-standards/educational-standards/,The Chartered Society of Forensic Sciences provides an accreditation system for both undergraduate and postgraduate courses in forensic science and related topics. Accreditation is given provided the course content meets with the Society's component standards which provide a quality endorsement of the course.,Cymdeithas Siartredig y Gwyddorau Fforensig yn darparu system achredu ar gyfer cyrsiau israddedig ac ôl-raddedig mewn gwyddoniaeth fforensig a phynciau cysylltiedig. Achrediad yn cael ei roi Darperir cynnwys y cwrs yn cwrdd â safonau cydran y Gymdeithas sy'n darparu ardystiad ansawdd y cwrs.,05601
http://www.gcc-uk.org/page.cfm?page_id=1775,Recognised by the General Chiropractic Council (GCC) for the purpose of eligibility for registration with that body.,Cydnabuwyd gan Gyngor Ciropracteg Cyffredinol (GCC) at bwrpas cymhwysedd ar gyfer cofrestru gyda'r corff hwnnw.,05701
